PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsError,RelError,TaskPerf
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000768423,1,0.000545907,0.000222516,28.9575%,1.30137e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000444651,2,0.000545907,0.000101256,22.7721%,2.24896e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000440359,3,0.000545907,0.000105548,23.9686%,2.27087e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000413895,4,0.000545907,0.000132012,31.8952%,2.41607e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000497818,5,0.000545907,4.8089e-05,9.65996%,2.00877e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000633001,6,0.000545907,8.70943e-05,13.7589%,1.57978e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000529289,7,0.000545907,1.66178e-05,3.13964%,1.88933e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.000450134,8,0.000545907,9.57727e-05,21.2765%,2.22156e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.00061512,9,0.000545907,6.92129e-05,11.2519%,1.6257e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,10,gettimeofday,0.00066638,10,0.000545907,0.000120473,18.0787%,1.50065e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00409007,1,0.00161302,0.00247705,60.5625%,2.44495e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00177383,2,0.00161302,0.000160813,9.06586%,5.63751e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00158048,3,0.00161302,3.25441e-05,2.05913%,6.3272e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.0012176,4,0.00161302,0.000395417,32.475%,8.21285e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00123715,5,0.00161302,0.000375867,30.3816%,8.08307e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00122833,6,0.00161302,0.000384688,31.3179%,8.14112e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00118303,7,0.00161302,0.000429988,36.3462%,8.45285e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00123835,8,0.00161302,0.000374675,30.2561%,8.07529e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00124788,9,0.00161302,0.000365138,29.2606%,8.01357e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O0,10,gettimeofday,0.00133348,10,0.00161302,0.000279546,20.9637%,7.4992e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.00066638,1,0.000491905,0.000174475,26.1825%,1.50065e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000641823,2,0.000491905,0.000149918,23.3581%,1.55806e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000456333,3,0.000491905,3.55721e-05,7.79519%,2.19138e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000438929,4,0.000491905,5.29766e-05,12.0695%,2.27827e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000468493,5,0.000491905,2.34127e-05,4.99746%,2.13451e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000455141,6,0.000491905,3.67641e-05,8.07753%,2.19712e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000442028,7,0.000491905,4.98772e-05,11.2837%,2.2623e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000437021,8,0.000491905,5.4884e-05,12.5586%,2.28822e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000457525,9,0.000491905,3.438e-05,7.51433%,2.18567e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O0,10,gettimeofday,0.000455379,10,0.000491905,3.65257e-05,8.02094%,2.19597e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00153136,1,0.00133569,0.00019567,12.7775%,6.53013e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00173092,2,0.00133569,0.000395226,22.8333%,5.77728e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00149655,3,0.00133569,0.000160861,10.7488%,6.68202e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.0012939,4,0.00133569,4.17948e-05,3.23015%,7.72859e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.0012219,5,0.00133569,0.000113797,9.31317%,8.18401e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00123858,6,0.00133569,9.71079e-05,7.84023%,8.07373e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00121045,7,0.00133569,0.000125241,10.3467%,8.26138e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.0012064,8,0.00133569,0.000129294,10.7174%,8.28914e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00118828,9,0.00133569,0.000147414,12.4057%,8.41554e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O0,10,gettimeofday,0.00123858,10,0.00133569,9.71079e-05,7.84023%,8.07373e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.00111222,1,0.00062387,0.000488353,43.9078%,8.99101e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000694513,2,0.00062387,7.06434e-05,10.1716%,1.43986e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.00063014,3,0.00062387,6.27041e-06,0.995081%,1.58695e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000602961,4,0.00062387,2.09093e-05,3.46777%,1.65848e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000543118,5,0.00062387,8.07524e-05,14.8683%,1.84122e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000529051,6,0.00062387,9.48191e-05,17.9225%,1.89018e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000541449,7,0.00062387,8.24213e-05,15.2224%,1.8469e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000570059,8,0.00062387,5.38111e-05,9.43957%,1.7542e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000509977,9,0.00062387,0.000113893,22.3329%,1.96087e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O0,10,gettimeofday,0.000505209,10,0.00062387,0.000118661,23.4875%,1.97938e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000574589,1,0.000700307,0.000125718,21.8797%,1.74038e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000762939,2,0.000700307,6.26326e-05,8.20937%,1.31072e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000583172,3,0.000700307,0.000117135,20.0859%,1.71476e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000686169,4,0.000700307,1.41382e-05,2.06046%,1.45737e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000801086,5,0.000700307,0.00010078,12.5804%,1.2483e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000815392,6,0.000700307,0.000115085,14.114%,1.2264e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000731707,7,0.000700307,3.13997e-05,4.2913%,1.36667e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000789881,8,0.000700307,8.95739e-05,11.3402%,1.26601e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000628948,9,0.000700307,7.13587e-05,11.3457%,1.58996e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O0,10,gettimeofday,0.000629187,10,0.000700307,7.11203e-05,11.3035%,1.58935e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000473022,1,0.000441051,3.19719e-05,6.75907%,2.11406e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000474215,2,0.000441051,3.3164e-05,6.99346%,2.10875e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000453472,3,0.000441051,1.24216e-05,2.73922%,2.20521e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000439405,4,0.000441051,1.64509e-06,0.37439%,2.2758e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000471592,5,0.000441051,3.05414e-05,6.47624%,2.12048e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000438929,6,0.000441051,2.12193e-06,0.483433%,2.27827e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000408888,7,0.000441051,3.21627e-05,7.86589%,2.44566e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000406742,8,0.000441051,3.43084e-05,8.43494%,2.45856e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000443697,9,0.000441051,2.64645e-06,0.596454%,2.25379e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,10,gettimeofday,0.000400543,10,0.000441051,4.05073e-05,10.1131%,2.49661e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000531197,1,0.000427198,0.000103998,19.5781%,1.88254e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000451803,2,0.000427198,2.46048e-05,5.44591%,2.21335e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000426531,3,0.000427198,6.67572e-07,0.156512%,2.3445e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000432968,4,0.000427198,5.76973e-06,1.3326%,2.30964e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000404596,5,0.000427198,2.26021e-05,5.58633%,2.4716e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000427961,6,0.000427198,7.62939e-07,0.178273%,2.33666e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000389338,7,0.000427198,3.78609e-05,9.72443%,2.56847e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000395775,8,0.000427198,3.14236e-05,7.93976%,2.52669e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000413656,9,0.000427198,1.35422e-05,3.27378%,2.41747e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O1,10,gettimeofday,0.000398159,10,0.000427198,2.90394e-05,7.29341%,2.51156e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000454664,1,0.000496459,4.17948e-05,9.19245%,2.19943e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.00045681,2,0.000496459,3.9649e-05,8.67954%,2.18909e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000447273,3,0.000496459,4.91858e-05,10.9968%,2.23577e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000439882,4,0.000496459,5.65767e-05,12.8618%,2.27334e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000415802,5,0.000496459,8.0657e-05,19.3979%,2.40499e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000608921,6,0.000496459,0.000112462,18.4691%,1.64225e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000472307,7,0.000496459,2.41518e-05,5.11358%,2.11727e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000582695,8,0.000496459,8.6236e-05,14.7995%,1.71616e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000511169,9,0.000496459,1.47104e-05,2.8778%,1.9563e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O1,10,gettimeofday,0.000575066,10,0.000496459,7.86066e-05,13.6692%,1.73893e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000389338,1,0.000446177,5.6839e-05,14.5989%,2.56847e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000427246,2,0.000446177,1.89304e-05,4.4308%,2.34057e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000418425,3,0.000446177,2.77519e-05,6.63248%,2.38992e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000411987,4,0.000446177,3.41892e-05,8.29861%,2.42726e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000404119,5,0.000446177,4.2057e-05,10.4071%,2.47452e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000436783,6,0.000446177,9.39369e-06,2.15066%,2.28947e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000450373,7,0.000446177,4.19617e-06,0.93171%,2.22038e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000463009,8,0.000446177,1.68324e-05,3.63543%,2.15979e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000478983,9,0.000446177,3.28064e-05,6.84918%,2.08776e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O1,10,gettimeofday,0.000581503,10,0.000446177,0.000135326,23.2718%,1.71968e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000418901,1,0.000493741,7.48396e-05,17.8657%,2.3872e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.00040555,2,0.000493741,8.8191e-05,21.746%,2.46579e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000513315,3,0.000493741,1.95742e-05,3.81328%,1.94812e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000432014,4,0.000493741,6.17266e-05,14.2881%,2.31474e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000523806,5,0.000493741,3.00646e-05,5.73964%,1.90911e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000594616,6,0.000493741,0.000100875,16.9647%,1.68176e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000530243,7,0.000493741,3.65019e-05,6.88399%,1.88593e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000535488,8,0.000493741,4.17471e-05,7.79608%,1.86746e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000524521,9,0.000493741,3.07798e-05,5.86818%,1.9065e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O1,10,gettimeofday,0.000458956,10,0.000493741,3.47853e-05,7.57922%,2.17886e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000512123,1,0.000510454,1.66893e-06,0.325885%,1.95266e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000523567,2,0.000510454,1.3113e-05,2.50455%,1.90997e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000528336,3,0.000510454,1.78814e-05,3.38448%,1.89274e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000514746,4,0.000510454,4.29153e-06,0.833719%,1.94271e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000520706,5,0.000510454,1.0252e-05,1.96886%,1.92047e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000455856,6,0.000510454,5.45979e-05,11.977%,2.19367e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000473976,7,0.000510454,3.6478e-05,7.69618%,2.10981e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000553846,8,0.000510454,4.33922e-05,7.8347%,1.80555e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000501156,9,0.000510454,9.29832e-06,1.85538%,1.99539e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O1,10,gettimeofday,0.000520229,10,0.000510454,9.77516e-06,1.87901%,1.92223e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000385046,1,0.000378013,7.03335e-06,1.82663%,2.59709e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000372648,2,0.000378013,5.36442e-06,1.43954%,2.6835e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000377417,3,0.000378013,5.96046e-07,0.157928%,2.64959e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000370502,4,0.000378013,7.51019e-06,2.02703%,2.69904e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000389814,5,0.000378013,1.18017e-05,3.02752%,2.56532e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000395298,6,0.000378013,1.72853e-05,4.37274%,2.52974e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O2,10,gettimeofday,0.000370264,7,0.000378013,7.7486e-06,2.09272%,2.70078e+07
