MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
RAM,131072,int,1,1,gettimeofday,0.000968456,0.000911617,1.4378e+14,5.6839e-05,5.86903,0.000848055,0.000903702,1.45039e+14,5.56469e-05,6.56171
RAM,131072,int,1,2,gettimeofday,0.000968456,0.000911617,1.4378e+14,5.6839e-05,5.86903,0.00100374,0.000903702,1.45039e+14,0.00010004,9.96675
RAM,131072,int,1,3,gettimeofday,0.000879526,0.000911617,1.4378e+14,3.20911e-05,3.64869,0.000847578,0.000903702,1.45039e+14,5.61237e-05,6.62166
RAM,131072,int,1,4,gettimeofday,0.000902891,0.000911617,1.4378e+14,8.72612e-06,0.966464,0.000897408,0.000903702,1.45039e+14,6.29425e-06,0.701382
RAM,131072,int,1,5,gettimeofday,0.000926256,0.000911617,1.4378e+14,1.46389e-05,1.58044,0.000848293,0.000903702,1.45039e+14,5.54085e-05,6.53176
RAM,131072,int,1,6,gettimeofday,0.000895262,0.000911617,1.4378e+14,1.63555e-05,1.8269,0.000898361,0.000903702,1.45039e+14,5.34058e-06,0.59448
RAM,131072,int,1,7,gettimeofday,0.00088954,0.000911617,1.4378e+14,2.20776e-05,2.48191,0.000992537,0.000903702,1.45039e+14,8.88348e-05,8.95028
RAM,131072,int,1,8,gettimeofday,0.000899076,0.000911617,1.4378e+14,1.25408e-05,1.39486,0.000937223,0.000903702,1.45039e+14,3.35217e-05,3.5767
RAM,131072,int,1,9,gettimeofday,0.000903845,0.000911617,1.4378e+14,7.77245e-06,0.859931,0.000893831,0.000903702,1.45039e+14,9.87053e-06,1.10429
RAM,131072,int,1,10,gettimeofday,0.000882864,0.000911617,1.4378e+14,2.87533e-05,3.25682,0.000869989,0.000903702,1.45039e+14,3.37124e-05,3.87503
RAM,131072,double,1,1,gettimeofday,0.000494957,0.000482774,2.71498e+14,1.21832e-05,2.46146,0.000459671,0.000475597,2.75594e+14,1.59264e-05,3.46473
RAM,131072,double,1,2,gettimeofday,0.00052166,0.000482774,2.71498e+14,3.88861e-05,7.4543,0.00050354,0.000475597,2.75594e+14,2.79427e-05,5.54924
RAM,131072,double,1,3,gettimeofday,0.000454426,0.000482774,2.71498e+14,2.8348e-05,6.2382,0.000646591,0.000475597,2.75594e+14,0.000170994,26.4454
RAM,131072,double,1,4,gettimeofday,0.00058651,0.000482774,2.71498e+14,0.000103736,17.687,0.000449896,0.000475597,2.75594e+14,2.57015e-05,5.71277
RAM,131072,double,1,5,gettimeofday,0.000436783,0.000482774,2.71498e+14,4.59909e-05,10.5295,0.000422478,0.000475597,2.75594e+14,5.31197e-05,12.5734
RAM,131072,double,1,6,gettimeofday,0.000551701,0.000482774,2.71498e+14,6.89268e-05,12.4935,0.000484228,0.000475597,2.75594e+14,8.63075e-06,1.78237
RAM,131072,double,1,7,gettimeofday,0.00043726,0.000482774,2.71498e+14,4.55141e-05,10.4089,0.000431776,0.000475597,2.75594e+14,4.38213e-05,10.1491
RAM,131072,double,1,8,gettimeofday,0.000447989,0.000482774,2.71498e+14,3.47853e-05,7.76477,0.000438213,0.000475597,2.75594e+14,3.7384e-05,8.53101
RAM,131072,double,1,9,gettimeofday,0.000460386,0.000482774,2.71498e+14,2.23875e-05,4.86277,0.000449896,0.000475597,2.75594e+14,2.57015e-05,5.71277
RAM,131072,double,1,10,gettimeofday,0.000436068,0.000482774,2.71498e+14,4.67062e-05,10.7108,0.000469685,0.000475597,2.75594e+14,5.91278e-06,1.25888
RAM,1048576,int,1,1,gettimeofday,0.00868583,0.0076961,1.36248e+14,0.000989723,11.3947,0.00838232,0.00745962,1.40567e+14,0.000922704,11.0077
RAM,1048576,int,1,2,gettimeofday,0.00878429,0.0076961,1.36248e+14,0.00108819,12.3879,0.00777149,0.00745962,1.40567e+14,0.000311875,4.01307
RAM,1048576,int,1,3,gettimeofday,0.00717425,0.0076961,1.36248e+14,0.000521851,7.27394,0.00737333,0.00745962,1.40567e+14,8.62837e-05,1.17021
RAM,1048576,int,1,4,gettimeofday,0.0075357,0.0076961,1.36248e+14,0.000160408,2.12864,0.00709796,0.00745962,1.40567e+14,0.000361657,5.09523
RAM,1048576,int,1,5,gettimeofday,0.00732374,0.0076961,1.36248e+14,0.000372362,5.08432,0.00733185,0.00745962,1.40567e+14,0.000127769,1.74265
RAM,1048576,int,1,6,gettimeofday,0.00716352,0.0076961,1.36248e+14,0.000532579,7.4346,0.00727296,0.00745962,1.40567e+14,0.000186658,2.56646
RAM,1048576,int,1,7,gettimeofday,0.00765538,0.0076961,1.36248e+14,4.07219e-05,0.531938,0.00712371,0.00745962,1.40567e+14,0.000335908,4.71535
RAM,1048576,int,1,8,gettimeofday,0.0078845,0.0076961,1.36248e+14,0.000188398,2.38948,0.00801873,0.00745962,1.40567e+14,0.000559115,6.97262
RAM,1048576,int,1,9,gettimeofday,0.00717545,0.0076961,1.36248e+14,0.000520658,7.25611,0.00711942,0.00745962,1.40567e+14,0.000340199,4.77847
RAM,1048576,int,1,10,gettimeofday,0.00757837,0.0076961,1.36248e+14,0.000117731,1.55351,0.0071044,0.00745962,1.40567e+14,0.00035522,5
RAM,1048576,double,1,1,gettimeofday,0.00408649,0.00379312,2.76442e+14,0.000293374,7.17911,0.00379252,0.00365269,2.87069e+14,0.000139832,3.68706
RAM,1048576,double,1,2,gettimeofday,0.00438929,0.00379312,2.76442e+14,0.000596166,13.5823,0.00372362,0.00365269,2.87069e+14,7.09295e-05,1.90485
RAM,1048576,double,1,3,gettimeofday,0.00367737,0.00379312,2.76442e+14,0.000115752,3.14769,0.00382328,0.00365269,2.87069e+14,0.000170588,4.46184
RAM,1048576,double,1,4,gettimeofday,0.0036757,0.00379312,2.76442e+14,0.000117421,3.19453,0.00364113,0.00365269,2.87069e+14,1.15633e-05,0.317575
RAM,1048576,double,1,5,gettimeofday,0.00375795,0.00379312,2.76442e+14,3.51667e-05,0.935795,0.00371647,0.00365269,2.87069e+14,6.3777e-05,1.71606
RAM,1048576,double,1,6,gettimeofday,0.00364327,0.00379312,2.76442e+14,0.000149846,4.11295,0.00350595,0.00365269,2.87069e+14,0.000146747,4.18565
RAM,1048576,double,1,7,gettimeofday,0.00363517,0.00379312,2.76442e+14,0.000157952,4.34512,0.00352716,0.00365269,2.87069e+14,0.000125527,3.55888
RAM,1048576,double,1,8,gettimeofday,0.00365496,0.00379312,2.76442e+14,0.000138164,3.78017,0.00354123,0.00365269,2.87069e+14,0.000111461,3.14751
RAM,1048576,double,1,9,gettimeofday,0.00365949,0.00379312,2.76442e+14,0.000133634,3.6517,0.00357795,0.00365269,2.87069e+14,7.47442e-05,2.08903
RAM,1048576,double,1,10,gettimeofday,0.00375152,0.00379312,2.76442e+14,4.1604e-05,1.10899,0.00367761,0.00365269,2.87069e+14,2.49147e-05,0.677472
RAM,6291456,int,1,1,gettimeofday,0.0441856,0.0449138,1.40078e+14,0.000728178,1.648,0.0422442,0.043183,1.45693e+14,0.000938773,2.22225
RAM,6291456,int,1,2,gettimeofday,0.0440085,0.0449138,1.40078e+14,0.000905323,2.05716,0.0420988,0.043183,1.45693e+14,0.00108421,2.57539
RAM,6291456,int,1,3,gettimeofday,0.0467374,0.0449138,1.40078e+14,0.00182362,3.90183,0.0431476,0.043183,1.45693e+14,3.54052e-05,0.082056
RAM,6291456,int,1,4,gettimeofday,0.044349,0.0449138,1.40078e+14,0.000564861,1.27367,0.0435636,0.043183,1.45693e+14,0.000380635,0.873746
RAM,6291456,int,1,5,gettimeofday,0.0445335,0.0449138,1.40078e+14,0.000380325,0.854021,0.0427039,0.043183,1.45693e+14,0.000479102,1.12192
RAM,6291456,int,1,6,gettimeofday,0.0474517,0.0449138,1.40078e+14,0.00253792,5.34842,0.0457153,0.043183,1.45693e+14,0.00253236,5.53942
RAM,6291456,int,1,7,gettimeofday,0.0446141,0.0449138,1.40078e+14,0.00029974,0.67185,0.0434785,0.043183,1.45693e+14,0.00029552,0.679692
RAM,6291456,int,1,8,gettimeofday,0.0444233,0.0449138,1.40078e+14,0.000490475,1.10409,0.0438344,0.043183,1.45693e+14,0.000651479,1.48623
RAM,6291456,int,1,9,gettimeofday,0.0456316,0.0449138,1.40078e+14,0.000717831,1.5731,0.042932,0.043183,1.45693e+14,0.000250936,0.584495
RAM,6291456,int,1,10,gettimeofday,0.0432034,0.0449138,1.40078e+14,0.00171046,3.9591,0.0421114,0.043183,1.45693e+14,0.00107157,2.54461
RAM,6291456,double,1,1,gettimeofday,0.0230842,0.0219507,2.86618e+14,0.00113351,4.91035,0.0213664,0.0211417,2.97586e+14,0.000224686,1.05159
RAM,6291456,double,1,2,gettimeofday,0.022397,0.0219507,2.86618e+14,0.000446391,1.99308,0.0209897,0.0211417,2.97586e+14,0.000152016,0.724241
RAM,6291456,double,1,3,gettimeofday,0.0216064,0.0219507,2.86618e+14,0.000344205,1.59307,0.0210588,0.0211417,2.97586e+14,8.28743e-05,0.393538
RAM,6291456,double,1,4,gettimeofday,0.0217535,0.0219507,2.86618e+14,0.000197101,0.906062,0.0213151,0.0211417,2.97586e+14,0.000173426,0.813628
RAM,6291456,double,1,5,gettimeofday,0.0219865,0.0219507,2.86618e+14,3.58343e-05,0.162983,0.0212603,0.0211417,2.97586e+14,0.000118589,0.557798
RAM,6291456,double,1,6,gettimeofday,0.0216501,0.0219507,2.86618e+14,0.000300574,1.38833,0.0211012,0.0211417,2.97586e+14,4.04358e-05,0.191628
RAM,6291456,double,1,7,gettimeofday,0.0219667,0.0219507,2.86618e+14,1.60456e-05,0.073045,0.0210831,0.0211417,2.97586e+14,5.85556e-05,0.277737
RAM,6291456,double,1,8,gettimeofday,0.0219798,0.0219507,2.86618e+14,2.91586e-05,0.132661,0.0211208,0.0211417,2.97586e+14,2.08855e-05,0.0988858
RAM,6291456,double,1,9,gettimeofday,0.0216124,0.0219507,2.86618e+14,0.000338244,1.56505,0.0210066,0.0211417,2.97586e+14,0.000135088,0.643074
