MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
RAM,64,int,1,1,gettimeofday,9.53674e-07,6.91414e-07,9.2564e+13,2.6226e-07,27.5,0,5.00679e-07,1.27826e+14,5.00679e-07,inf
RAM,64,int,1,2,gettimeofday,9.53674e-07,6.91414e-07,9.2564e+13,2.6226e-07,27.5,0,5.00679e-07,1.27826e+14,5.00679e-07,inf
RAM,64,int,1,3,gettimeofday,1.19209e-06,6.91414e-07,9.2564e+13,5.00679e-07,42,9.53674e-07,5.00679e-07,1.27826e+14,4.52995e-07,47.5
RAM,64,int,1,4,gettimeofday,0,6.91414e-07,9.2564e+13,6.91414e-07,inf,9.53674e-07,5.00679e-07,1.27826e+14,4.52995e-07,47.5
RAM,64,int,1,5,gettimeofday,9.53674e-07,6.91414e-07,9.2564e+13,2.6226e-07,27.5,1.19209e-06,5.00679e-07,1.27826e+14,6.91414e-07,58
RAM,64,int,1,6,gettimeofday,9.53674e-07,6.91414e-07,9.2564e+13,2.6226e-07,27.5,0,5.00679e-07,1.27826e+14,5.00679e-07,inf
RAM,64,int,1,7,gettimeofday,0,6.91414e-07,9.2564e+13,6.91414e-07,inf,9.53674e-07,5.00679e-07,1.27826e+14,4.52995e-07,47.5
RAM,64,int,1,8,gettimeofday,0,6.91414e-07,9.2564e+13,6.91414e-07,inf,9.53674e-07,5.00679e-07,1.27826e+14,4.52995e-07,47.5
RAM,64,int,1,9,gettimeofday,9.53674e-07,6.91414e-07,9.2564e+13,2.6226e-07,27.5,0,5.00679e-07,1.27826e+14,5.00679e-07,inf
RAM,64,int,1,10,gettimeofday,9.53674e-07,6.91414e-07,9.2564e+13,2.6226e-07,27.5,0,5.00679e-07,1.27826e+14,5.00679e-07,inf
