MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
RAM,131072,char,131072,1,clock_gettime,3e-06,3e-06,41666.7,0,0,5.8e-06,5.8e-06,21551.7,0,0
RAM,131072,char,131072,2,clock_gettime,1.9e-06,2.45e-06,51020.4,5.5e-07,28.9474,3.8e-06,4.8e-06,26041.7,1e-06,26.3158
RAM,131072,char,131072,3,clock_gettime,1.9e-06,2.26667e-06,55147.1,3.66667e-07,19.2982,3.5e-06,4.36667e-06,28626,8.66667e-07,24.7619
RAM,131072,char,131072,4,clock_gettime,1.9e-06,2.175e-06,57471.3,2.75e-07,14.4737,3.5e-06,4.15e-06,30120.5,6.5e-07,18.5714
RAM,131072,char,131072,5,clock_gettime,1.9e-06,2.12e-06,58962.3,2.2e-07,11.5789,3.4e-06,4e-06,31250,6e-07,17.6471
RAM,131072,char,131072,6,clock_gettime,1.9e-06,2.08333e-06,60000,1.83333e-07,9.64912,3.4e-06,3.9e-06,32051.3,5e-07,14.7059
RAM,131072,char,131072,7,clock_gettime,1.9e-06,2.05714e-06,60763.9,1.57143e-07,8.27068,3.4e-06,3.82857e-06,32649.3,4.28571e-07,12.605
RAM,131072,char,131072,8,clock_gettime,1.8e-06,2.025e-06,61728.4,2.25e-07,12.5,3.3e-06,3.7625e-06,33222.6,4.625e-07,14.0152
RAM,131072,char,131072,9,clock_gettime,1.8e-06,2e-06,62500,2e-07,11.1111,3.3e-06,3.71111e-06,33682.6,4.11111e-07,12.4579
RAM,131072,char,131072,10,clock_gettime,1.9e-06,1.99e-06,62814.1,9e-08,4.73684,3.3e-06,3.67e-06,34059.9,3.7e-07,11.2121
RAM,1048576,char,1048576,1,clock_gettime,4.47e-05,4.47e-05,22371.4,0,0,9.36e-05,9.36e-05,10683.8,0,0
RAM,1048576,char,1048576,2,clock_gettime,2.5e-05,3.485e-05,28694.4,9.85e-06,39.4,9e-05,9.18e-05,10893.2,1.8e-06,2
RAM,1048576,char,1048576,3,clock_gettime,2.47e-05,3.14667e-05,31779.7,6.76667e-06,27.3954,6.19e-05,8.18333e-05,12220,1.99333e-05,32.2025
RAM,1048576,char,1048576,4,clock_gettime,2.54e-05,2.995e-05,33389,4.55e-06,17.9134,8.61e-05,8.29e-05,12062.7,3.2e-06,3.71661
