PModel;Task;OpType;Opt;LNum;InsCount;Timer;AvTime;AbsErr;RelErr;TaskPerf;
;matrixMultiplication;int**;None;100;1000000;clock();2.494180e-03;4.986875e-02;9.970782e-01;4.009334e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.130800e-03;4.611127e-02;9.978644e-01;4.693073e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.537280e-03;5.936884e-02;9.964320e-01;2.827031e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.401370e-03;4.893860e-02;9.973418e-01;4.164290e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.066640e-03;4.541331e-02;9.979333e-01;4.838772e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.390350e-03;5.812791e-02;9.966090e-01;2.949548e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.414110e-03;4.906741e-02;9.973077e-01;4.142313e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.064320e-03;4.538787e-02;9.979357e-01;4.844210e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.383410e-03;5.806859e-02;9.966161e-01;2.955598e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.416760e-03;4.909439e-02;9.973103e-01;4.137771e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.073200e-03;4.548517e-02;9.979264e-01;4.823461e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.378250e-03;5.802445e-02;9.966214e-01;2.960112e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.475650e-03;4.968456e-02;9.971341e-01;4.039343e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.067210e-03;4.541956e-02;9.979327e-01;4.837438e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.391600e-03;5.813858e-02;9.966075e-01;2.948461e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.359300e-03;4.851071e-02;9.974522e-01;4.238545e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.064400e-03;4.538875e-02;9.979356e-01;4.844022e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.378370e-03;5.802547e-02;9.966211e-01;2.960007e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.425850e-03;4.918614e-02;9.972903e-01;4.122266e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.065320e-03;4.539884e-02;9.979347e-01;4.841865e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.386840e-03;5.809790e-02;9.966123e-01;2.952605e+08;
;matrixMultiplication;int**;None;100;1000000;clock();2.416290e-03;4.908958e-02;9.973085e-01;4.138576e+08;
;matrixMultiplication;long long**;None;100;1000000;clock();2.073190e-03;4.548507e-02;9.979265e-01;4.823485e+08;
;matrixMultiplication;double**;None;100;1000000;clock();3.390620e-03;5.813021e-02;9.966088e-01;2.949313e+08;
;matrixMultiplication;int**;O1;100;1000000;clock();3.062520e-03;5.524646e-02;9.966209e-01;3.265285e+08;
;matrixMultiplication;long long**;O1;100;1000000;clock();2.675900e-03;5.165983e-02;9.973235e-01;3.737060e+08;
;matrixMultiplication;double**;O1;100;1000000;clock();3.286560e-03;5.723399e-02;9.967046e-01;3.042695e+08;
�x;matrixMultiplication;int**;O1;100;1000000;clock();2.920630e-03;5.395948e-02;9.969169e-01;3.423919e+08;
