dgemm version,size,block size,time
dgemm,1024,0,10.8421
dgemm,2048,0,88.8485
dgemm,3072,0,341.055
dgemm,4096,0,859.347
dgemm,5120,0,1692.05
dgemm_opt_1,1024,1,4.1858
dgemm_opt_1,2048,1,32.2119
dgemm_opt_1,3072,1,108.542
dgemm_opt_1,4096,1,257.568
dgemm_opt_1,5120,1,503.27
dgemm_opt_2,1024,2,6.44428
dgemm_opt_2,2048,2,57.6306
dgemm_opt_2,3072,2,198.518
dgemm_opt_2,4096,2,503.969
dgemm_opt_2,5120,2,954.048
dgemm_opt_2,1024,4,3.93991
dgemm_opt_2,2048,4,32.6564
dgemm_opt_2,3072,4,112.93
dgemm_opt_2,4096,4,275.407
dgemm_opt_2,5120,4,552.964
dgemm_opt_2,1024,8,3.26454
dgemm_opt_2,2048,8,26.6101
dgemm_opt_2,3072,8,92.9303
dgemm_opt_2,4096,8,228.704
dgemm_opt_2,5120,8,461.999
dgemm_opt_2,1024,16,3.24257
dgemm_opt_2,2048,16,23.8914
dgemm_opt_2,3072,16,84.6319
dgemm_opt_2,4096,16,201.588
dgemm_opt_2,5120,16,404.219
dgemm_opt_2,1024,32,3.17355
dgemm_opt_2,2048,32,23.3602
dgemm_opt_2,3072,32,75.9399
dgemm_opt_2,4096,32,177.039
dgemm_opt_2,5120,32,354.978
dgemm_opt_2,1024,64,3.23243
dgemm_opt_2,2048,64,23.9183
dgemm_opt_2,3072,64,72.6634
dgemm_opt_2,4096,64,175.939
dgemm_opt_2,5120,64,350.069
dgemm_opt_2,1024,128,3.25549
dgemm_opt_2,2048,128,24.115
dgemm_opt_2,3072,128,82.5657
dgemm_opt_2,4096,128,194.813
dgemm_opt_2,5120,128,384.856
dgemm_opt_2,1024,256,3.2278
dgemm_opt_2,2048,256,23.671
dgemm_opt_2,3072,256,80.7808
dgemm_opt_2,4096,256,190.975
dgemm_opt_2,5120,256,378.175
dgemm_opt_2,1024,512,3.30064
dgemm_opt_2,2048,512,24.211
dgemm_opt_2,3072,512,82.1035
dgemm_opt_2,4096,512,195.274
dgemm_opt_2,5120,512,383.665
dgemm_opt_2,1024,1024,3.21281
dgemm_opt_2,2048,1024,24.5136
dgemm_opt_2,3072,1024,85.4073
dgemm_opt_2,4096,1024,197.756
dgemm_opt_2,5120,1024,390.829
