dgemm version,size,block size,time
dgemm,1000,0,10.8421
dgemm,2000,0,88.8485
dgemm,3000,0,341.055
dgemm,4000,0,859.347
dgemm,5000,0,1692.05
dgemm_opt_1,1000,1,4.1858
dgemm_opt_1,2000,1,32.2119
dgemm_opt_1,3000,1,108.542
dgemm_opt_1,4000,1,257.568
dgemm_opt_1,5000,1,503.27
dgemm_opt_2,1000,2,6.44428
dgemm_opt_2,2000,2,57.6306
dgemm_opt_2,3000,2,198.518
dgemm_opt_2,4000,2,503.969
dgemm_opt_2,5000,2,954.048
dgemm_opt_2,1000,4,3.93991
dgemm_opt_2,2000,4,32.6564
dgemm_opt_2,3000,4,112.93
dgemm_opt_2,4000,4,275.407
dgemm_opt_2,5000,4,552.964
dgemm_opt_2,1000,8,3.26454
dgemm_opt_2,2000,8,26.6101
dgemm_opt_2,3000,8,92.9303
dgemm_opt_2,4000,8,228.704
dgemm_opt_2,5000,8,461.999
dgemm_opt_2,1000,16,3.24257
dgemm_opt_2,2000,16,23.8914
dgemm_opt_2,3000,16,84.6319
dgemm_opt_2,4000,16,201.588
dgemm_opt_2,5000,16,404.219
dgemm_opt_2,1000,32,3.17355
dgemm_opt_2,2000,32,23.3602
dgemm_opt_2,3000,32,75.9399
dgemm_opt_2,4000,32,177.039
dgemm_opt_2,5000,32,354.978
dgemm_opt_2,1000,64,3.23243
dgemm_opt_2,2000,64,23.9183
dgemm_opt_2,3000,64,72.6634
dgemm_opt_2,4000,64,175.939
dgemm_opt_2,5000,64,350.069
dgemm_opt_2,1000,128,3.25549
dgemm_opt_2,2000,128,24.115
dgemm_opt_2,3000,128,82.5657
dgemm_opt_2,4000,128,194.813
dgemm_opt_2,5000,128,384.856
dgemm_opt_2,1000,256,3.2278
dgemm_opt_2,2000,256,23.671
dgemm_opt_2,3000,256,80.7808
dgemm_opt_2,4000,256,190.975
dgemm_opt_2,5000,256,378.175
dgemm_opt_2,1000,512,3.30064
dgemm_opt_2,2000,512,24.211
dgemm_opt_2,3000,512,82.1035
dgemm_opt_2,4000,512,195.274
dgemm_opt_2,5000,512,383.665
dgemm_opt_2,1000,1024,3.21281
dgemm_opt_2,2000,1024,24.5136
dgemm_opt_2,3000,1024,85.4073
dgemm_opt_2,4000,1024,197.756
dgemm_opt_2,5000,1024,390.829
