mode,size,threads,time
openmp,1000,2,2.34589
openmp,1000,4,1.35671
openmp,1000,6,1.08111
openmp,1000,8,1.01632
openmp,2000,2,17.8946
openmp,2000,4,10.8598
openmp,2000,6,8.82299
openmp,2000,8,8.1059
openmp,3000,2,61.1074
openmp,3000,4,37.2753
openmp,3000,6,28.8808
openmp,3000,8,27.2759
openmp,4000,2,143.122
openmp,4000,4,85.9386
openmp,4000,6,67.8063
openmp,4000,8,64.6401
openmp,5000,2,280.037
openmp,5000,4,164.55
openmp,5000,6,132.5
openmp,5000,8,127.697
posix,1000,2,3.21022
posix,1000,4,1.89477
posix,1000,6,1.66019
posix,1000,8,1.35391
posix,2000,2,25.8826
posix,2000,4,14.5899
posix,2000,6,11.6546
posix,2000,8,10.5501
posix,3000,2,84.7691
posix,3000,4,50.2317
posix,3000,6,40.0994
posix,3000,8,37.8302
posix,4000,2,204.492
posix,4000,4,119.572
posix,4000,6,94.0276
posix,4000,8,89.2809
posix,5000,2,399.743
posix,5000,4,234.826
posix,5000,6,181.912
posix,5000,8,165.754
default,1000,1,3.95414
default,2000,1,31.4692
default,3000,1,106.856
default,4000,1,251.48
default,5000,1,488.019
