PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsError,RelError,TaskPerf
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,1,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.76837e-06,2,5.25713e-06,4.88758e-07,10.25%,2.09715e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,3,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,1.66893e-05,4,5.25713e-06,1.14322e-05,68.5%,599186
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,5,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.24521e-06,6,5.25713e-06,1.19209e-08,0.227273%,1.9065e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,7,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,8,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,9,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,10,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,11,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,12,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,13,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,14,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.72205e-06,15,5.25713e-06,4.64916e-07,8.125%,1.74763e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,16,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.24521e-06,17,5.25713e-06,1.19209e-08,0.227273%,1.9065e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,5.00679e-06,18,5.25713e-06,2.5034e-07,5%,1.99729e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,19,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O0,20,gettimeofday,4.05312e-06,20,5.25713e-06,1.20401e-06,29.7059%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,5.72205e-06,1,4.73261e-06,9.89437e-07,17.2917%,1.74763e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,5.24521e-06,2,4.73261e-06,5.126e-07,9.77273%,1.9065e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,3.8147e-06,3,4.73261e-06,9.17912e-07,24.0625%,2.62144e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,3.09944e-06,4,4.73261e-06,1.63317e-06,52.6923%,3.22639e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,4.76837e-06,5,4.73261e-06,3.57628e-08,0.75%,2.09715e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,4.05312e-06,6,4.73261e-06,6.79493e-07,16.7647%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,3.8147e-06,7,4.73261e-06,9.17912e-07,24.0625%,2.62144e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,4.05312e-06,8,4.73261e-06,6.79493e-07,16.7647%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,5.96046e-06,9,4.73261e-06,1.22786e-06,20.6%,1.67772e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,5.96046e-06,10,4.73261e-06,1.22786e-06,20.6%,1.67772e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,4.05312e-06,11,4.73261e-06,6.79493e-07,16.7647%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,4.05312e-06,12,4.73261e-06,6.79493e-07,16.7647%,2.46724e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,6.19888e-06,13,4.73261e-06,1.46627e-06,23.6538%,1.61319e+06
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O1,20,gettimeofday,5.96046e-06,14,4.73261e-06,1.22786e-06,20.6%,1.67772e+06
